objective value:                                    0
t13_18_21                                           1   (obj:0)
t13_19_20                                           1   (obj:0)
t13_19_22                                           1   (obj:0)
t13_20_21                                           1   (obj:0)
t13_21_22                                           1   (obj:0)
t14_15_17                                           1   (obj:0)
t14_15_21                                           1   (obj:0)
t14_15_22                                           1   (obj:0)
t14_15_23                                           1   (obj:0)
t14_17_20                                           1   (obj:0)
t14_20_21                                           1   (obj:0)
t14_20_23                                           1   (obj:0)
t14_21_22                                           1   (obj:0)
t14_22_23                                           1   (obj:0)
t15_18_21                                           1   (obj:0)
t15_18_23                                           1   (obj:0)
t15_19_22                                           1   (obj:0)
t15_19_23                                           1   (obj:0)
t15_21_22                                           1   (obj:0)
t15_22_23                                           1   (obj:0)
t16_17_20                                           1   (obj:0)
t16_18_20                                           1   (obj:0)
t16_18_21                                           1   (obj:0)
t16_18_23                                           1   (obj:0)
t16_19_20                                           1   (obj:0)
t16_19_22                                           1   (obj:0)
t16_19_23                                           1   (obj:0)
t16_20_21                                           1   (obj:0)
t16_20_23                                           1   (obj:0)
t16_21_22                                           1   (obj:0)
t16_22_23                                           1   (obj:0)
t18_20_21                                           1   (obj:0)
t18_20_23                                           1   (obj:0)
t19_20_23                                           1   (obj:0)
t19_22_23                                           1   (obj:0)
b_1_4                                               1   (obj:0)
b_1_5                                               1   (obj:0)
b_1_10                                              1   (obj:0)
b_1_11                                              1   (obj:0)
b_1_12                                              1   (obj:0)
b_1_13                                              1   (obj:0)
b_1_14                                              1   (obj:0)
b_1_15                                              1   (obj:0)
b_1_16                                              1   (obj:0)
b_1_17                                              1   (obj:0)
b_1_18                                              1   (obj:0)
b_1_19                                              1   (obj:0)
b_1_20                                              1   (obj:0)
b_1_21                                              1   (obj:0)
b_1_22                                              1   (obj:0)
b_1_23                                              1   (obj:0)
b_2_4                                               1   (obj:0)
b_2_5                                               1   (obj:0)
b_2_6                                               1   (obj:0)
b_2_10                                              1   (obj:0)
b_2_11                                              1   (obj:0)
b_2_12                                              1   (obj:0)
b_2_13                                              1   (obj:0)
b_2_14                                              1   (obj:0)
b_2_15                                              1   (obj:0)
b_2_16                                              1   (obj:0)
b_2_17                                              1   (obj:0)
b_2_18                                              1   (obj:0)
b_2_19                                              1   (obj:0)
b_2_20                                              1   (obj:0)
b_2_21                                              1   (obj:0)
b_2_22                                              1   (obj:0)
b_2_23                                              1   (obj:0)
b_3_4                                               1   (obj:0)
b_3_5                                               1   (obj:0)
b_3_6                                               1   (obj:0)
b_3_10                                              1   (obj:0)
b_3_11                                              1   (obj:0)
b_3_12                                              1   (obj:0)
b_3_13                                              1   (obj:0)
b_3_14                                              1   (obj:0)
b_3_15                                              1   (obj:0)
b_3_16                                              1   (obj:0)
b_3_17                                              1   (obj:0)
b_3_18                                              1   (obj:0)
b_3_19                                              1   (obj:0)
b_3_20                                              1   (obj:0)
b_3_21                                              1   (obj:0)
b_3_22                                              1   (obj:0)
b_3_23                                              1   (obj:0)
b_4_10                                              1   (obj:0)
b_4_11                                              1   (obj:0)
b_4_17                                              1   (obj:0)
b_5_10                                              1   (obj:0)
b_5_11                                              1   (obj:0)
b_5_12                                              1   (obj:0)
b_5_13                                              1   (obj:0)
b_5_17                                              1   (obj:0)
b_6_10                                              1   (obj:0)
b_6_11                                              1   (obj:0)
b_6_12                                              1   (obj:0)
b_6_13                                              1   (obj:0)
b_6_14                                              1   (obj:0)
b_6_15                                              1   (obj:0)
b_6_16                                              1   (obj:0)
b_6_17                                              1   (obj:0)
b_6_18                                              1   (obj:0)
b_6_19                                              1   (obj:0)
b_6_20                                              1   (obj:0)
b_6_21                                              1   (obj:0)
b_6_22                                              1   (obj:0)
b_6_23                                              1   (obj:0)
b_7_10                                              1   (obj:0)
b_7_11                                              1   (obj:0)
b_7_12                                              1   (obj:0)
b_7_13                                              1   (obj:0)
b_7_14                                              1   (obj:0)
b_7_15                                              1   (obj:0)
b_7_16                                              1   (obj:0)
b_7_17                                              1   (obj:0)
b_7_18                                              1   (obj:0)
b_7_19                                              1   (obj:0)
b_7_20                                              1   (obj:0)
b_7_21                                              1   (obj:0)
b_7_22                                              1   (obj:0)
b_7_23                                              1   (obj:0)
b_8_10                                              1   (obj:0)
b_8_11                                              1   (obj:0)
b_8_12                                              1   (obj:0)
b_8_13                                              1   (obj:0)
b_8_14                                              1   (obj:0)
b_8_15                                              1   (obj:0)
b_8_16                                              1   (obj:0)
b_8_17                                              1   (obj:0)
