objective value:                                    0
t8_20_21                                            1   (obj:0)
t8_20_22                                            1   (obj:0)
t8_20_23                                            1   (obj:0)
t8_21_22                                            1   (obj:0)
t8_21_23                                            1   (obj:0)
t8_22_23                                            1   (obj:0)
t9_19_20                                            1   (obj:0)
t9_19_21                                            1   (obj:0)
t9_19_22                                            1   (obj:0)
t9_19_23                                            1   (obj:0)
t9_20_21                                            1   (obj:0)
t9_20_22                                            1   (obj:0)
t9_20_23                                            1   (obj:0)
t9_21_22                                            1   (obj:0)
t9_21_23                                            1   (obj:0)
t9_22_23                                            1   (obj:0)
t10_20_22                                           1   (obj:0)
t11_20_23                                           1   (obj:0)
t12_21_22                                           1   (obj:0)
t12_21_23                                           1   (obj:0)
t12_22_23                                           1   (obj:0)
t13_15_16                                           1   (obj:0)
t13_15_18                                           1   (obj:0)
t14_15_18                                           1   (obj:0)
t14_17_18                                           1   (obj:0)
t19_20_21                                           1   (obj:0)
t19_20_22                                           1   (obj:0)
t19_20_23                                           1   (obj:0)
t19_21_22                                           1   (obj:0)
t19_21_23                                           1   (obj:0)
t19_22_23                                           1   (obj:0)
t20_21_22                                           1   (obj:0)
t20_21_23                                           1   (obj:0)
t20_22_23                                           1   (obj:0)
t21_22_23                                           1   (obj:0)
b_2_10                                              1   (obj:0)
b_2_11                                              1   (obj:0)
b_3_10                                              1   (obj:0)
b_3_11                                              1   (obj:0)
b_4_10                                              1   (obj:0)
b_4_11                                              1   (obj:0)
b_4_12                                              1   (obj:0)
b_5_10                                              1   (obj:0)
b_5_11                                              1   (obj:0)
b_5_12                                              1   (obj:0)
b_6_10                                              1   (obj:0)
b_6_11                                              1   (obj:0)
b_6_12                                              1   (obj:0)
b_7_10                                              1   (obj:0)
b_7_11                                              1   (obj:0)
b_7_12                                              1   (obj:0)
b_7_13                                              1   (obj:0)
b_7_14                                              1   (obj:0)
b_7_15                                              1   (obj:0)
b_7_16                                              1   (obj:0)
b_7_17                                              1   (obj:0)
b_7_18                                              1   (obj:0)
b_8_10                                              1   (obj:0)
b_8_11                                              1   (obj:0)
b_8_12                                              1   (obj:0)
b_8_13                                              1   (obj:0)
b_8_14                                              1   (obj:0)
b_8_15                                              1   (obj:0)
b_8_16                                              1   (obj:0)
b_8_17                                              1   (obj:0)
b_8_18                                              1   (obj:0)
b_8_19                                              1   (obj:0)
b_9_10                                              1   (obj:0)
b_9_11                                              1   (obj:0)
b_9_12                                              1   (obj:0)
b_9_13                                              1   (obj:0)
b_9_14                                              1   (obj:0)
b_9_15                                              1   (obj:0)
b_9_16                                              1   (obj:0)
b_9_17                                              1   (obj:0)
b_9_18                                              1   (obj:0)
b_9_19                                              1   (obj:0)
d0                                                  3   (obj:0)
d1                                                  4   (obj:0)
d2                                                  7   (obj:0)
d3                                                  8   (obj:0)
d4                                                 10   (obj:0)
d5                                                 11   (obj:0)
d6                                                 12   (obj:0)
d7                                                 19   (obj:0)
d8                                                 21   (obj:0)
d9                                                 22   (obj:0)
d10                                                 5   (obj:0)
d11                                                 6   (obj:0)
d12                                                 9   (obj:0)
d13                                                13   (obj:0)
d14                                                14   (obj:0)
d15                                                15   (obj:0)
d16                                                16   (obj:0)
d17                                                17   (obj:0)
d18                                                18   (obj:0)
d19                                                20   (obj:0)
d20                                                23   (obj:0)
d21                                                24   (obj:0)
d22                                                25   (obj:0)
d23                                                26   (obj:0)
T                                                 116   (obj:0)
